 Category,Responsible Person,Publishing Date ,Platform (ENG/CN),Country,Blog Title ,Subtitle/Snippet (For Web),GD Image Link/Video Link,Related Mojo Website Case/Media for Cross Linking,INFLUENCERS,HASHTAGS,ENGLISH (Linkedin / FB)  - BITIC CHECK,ENGLISH (Instagram)  - BITIC CHECK,ENGLISH (Twitter)  - BITIC CHECK,CHINESE (SIMPLIFIED) - MAINLAND/SINGAPORE/MALAYSIA,CHINESE (TRADITIONAL) - TAIWAN/HK,SPANISH + CATALAN,JAPANESE
MOJO News,Adi,2020-8-11,MOJO web / newsroom,Global,MOJO Creates Immersive Experience using SPARK AR and Unity x Vuforia,,https://drive.google.com/drive/u/0/folders/1RcR5xJQz5xLczmxMl0odozJSaC9_44ny,,,,"SparkAR for Marketing Engagement - the growth of AR engagements in entertainment applications has been driven by social media. SparkAR have created a consumer oriented authoring environment and Facebook have provided the distribution platform. MOJO has been using SparkAR in its own market and is now introducing it into client projects. 

Have you tried our SparkAR Filter yet? If not download our MOJO Mask filter and show your support in fighting the COVID-19 Pandemic. 

MOJO MASK ",,,,,,
MOJO News,Adi,2020-8-31,FB/ IG/ LI,Global,MOJO Creates Immersive Experience using SPARK AR,,https://drive.google.com/drive/u/0/folders/1RcR5xJQz5xLczmxMl0odozJSaC9_44ny,https://bit.ly/3b1lLd1,@SparkARcreators,#GlobalDigitalMOJO #ImmersiveWorlds #ImmersiveExperience #SparkAR #AR #VR #DigitalTransformation #Design #AI #UX #experiencedesign ,"Global Digital MOJO is proud to present its latest offering in the Immersive World Experience. Now create Spark in your business and let your audience talk about your brand in a new immersive experience, with the help of special effects and filters on top social media platforms. MOJO is launching its new Spark AR filter today, download the MOJO MASK Filter and Join MOJO in showing its support in fighting the COVID-19 Virus and try out the effect cooked at the MOJO DEEPTECH Lab. 

Head over to the link here to download the MOJO MASK Effect: https://bit.ly/3b1lLd1

Interested to bring a similar experience to your brand, connect with us now @globaldigitalmojo","Global Digital MOJO is proud to present its latest offering in the Immersive World Experience. Now create Spark in your business and let your audience talk about your brand in a new immersive experience, with the help of special effects and filters on top social media platforms. MOJO is launching its new Spark AR filter today, download the MOJO MASK Filter and Join MOJO in showing its support in fighting the COVID-19 Virus and try out the effect cooked at the MOJO DEEPTECH Lab. 

Head over to stories to download the MOJO MASK Filter, search in effects MOJO Mask and look for the MOJO Logo in Red. 

Interested to bring a similar experience to your brand, connect with us now @globaldigitalmojo",,,,,
MOJO News,David,2020-8-21,MOJO web / newsroom,Global,MOJO will launch its own VR B2B platform,,https://drive.google.com/drive/u/1/folders/1PixY9JHXKoJe5-bpnFfb-wK3x4ECt-WX,,,,,,,,,,
MOJO News,David,2020-8-21,Linked-in,Global,MOJO will launch its own VR B2B platform,,https://drive.google.com/drive/u/1/folders/1PixY9JHXKoJe5-bpnFfb-wK3x4ECt-WX,MOJO Newsroom link,@globaldigtitalmojo @mozillabhubs @altspacevr,#b2b #vr #xr #tradeshow #event #venue #businessmatching #Inbound #outbound,"In order to meet the needs of our clients around the word, we have developed our own B2B business platform using the latest technologies in AI and business matching.",,,,,,
MOJO News,Adi,2020-8-21,MOJO web / newsroom/ MOJO in the MEDIA,Global,ATR Shares the KGAP+2020 Demo Day Success ,,,,,,ATR publishes summary of the KGAP2020 Batch 3 Demo Day - https://keihanna-rc.jp/news/kgapday_20200729/,,,,,,
MOJO News,Adi,2020-8-21,MOJO web / newsroom/ MOJO News,Global,MOJO Launches its xR Offering,,,MOJO Newsroom link,@globaldigtitalmojo @mozillabhubs @altspacevr,#b2b #vr #xr #tradeshow #event #venue #businessmatching #Inbound #outbound,"In 2009 we led the way in AR with a ground breaking project for Pepsi Cola out of Shanghai.  In 2020 we are happy to announce our new xR initiative.  Combine 10 years of AI know-how into a new xR service offering we will offer AR and VR marketing, event and entertainment experiences like you have never seen.  From UNITY-based AR content to MozillaHubs and AltSpace virtual tradeshows and meet ups.  Strap on your Occulus Quest and let go with MOJO!",,,,,,
MOJO News,Adi,2020-8-21,Linked-in,Global,MOJO Launches its xR Offering,,,MOJO Newsroom link,@globaldigtitalmojo @mozillabhubs @altspacevr,#b2b #vr #xr #tradeshow #event #venue #businessmatching #Inbound #outbound,"In 2009 we led the way in AR with a ground breaking project for Pepsi Cola out of Shanghai.  In 2020 we are happy to announce our new XR initiative.  XR combines all kinds of immersive worlds from AR, to VR to MR.  ",,,,,,
MOJO News,Atsuko,2020-8-XX,MOJO web / newsroom/ MOJO News,Global,MOJO launches MOJO GAME Lab out of our Osaka Office,,https://drive.google.com/drive/u/1/folders/1Y0bUpMLVPVgyoZxgLDC74Vc3dJVbYstM,MOJO Newsroom link,@globaldigtitalmojo @gamelab,#b2b #vr #xr #tradeshow #event #venue #businessmatching #Inbound #outbound," To celebrate the launch of MOJO JAPANs MOJO GAMELAB business, we developed an AR Game to showcase our work in UNITY and VUFORIA AR version 9.  

Ported to Android and iOS platforms, the MOJO MONSTERS game is a treasure hunt to find 4 hungry monsters from four of MOJO Offices around the world.  Visit the office to catch the monster by finding the relevant monster tag.
�",,,,,,"MOJO JAPANのMOJO GAME LAB事業の立ち上げを記念して、UNITYおよびVUFORIAAR ver.9での作業を紹介するARゲームを開発しました。

AndroidおよびiOSプラットフォームに移植されたMOJO MENSTERSゲームは、世界中の4つのMOJOオフィスから4つのはらぺこモンスターを見つけるた宝探しです。事務所に行って、関連するモンスタータグを見つけモンスターを捕まえましょう。"
MOJO News,Atsuko,2020-8-21,Linked-in,Global,MOJO Launches its xR Offering,,https://drive.google.com/drive/u/1/folders/1Y0bUpMLVPVgyoZxgLDC74Vc3dJVbYstM,MOJO Newsroom link,@globaldigtitalmojo @mozillabhubs @altspacevr,#b2b #vr #xr #tradeshow #event #venue #businessmatching #Inbound #outbound," To celebrate the launch of MOJO JAPANs MOJO GAMELAB business, we developed an AR Game to showcase our work in UNITY and VUFORIA AR version 9.  

Ported to Android and iOS platforms, the MOJO MONSTERS game is a treasure hunt to find 4 hungry monsters from four of MOJO Offices around the world.  Visit the office to catch the monster by finding the relevant monster tag.
�",,,,,,"↑
same"
MOJO News,Warat ,,Linked-in/FB,,Game industry related,,https://drive.google.com/drive/folders/1-fmd4oHk65n55jcZdxersVf76H0WdvwN?usp=sharing,,@globaldigitalmojo @oculus VR @facebook,#technews #vr #xr #future #gadget,"In the future, you will need to have Facebook account to be able to use Oculus devices. It has been reported in the Oculus's official Twitter account that starting in October 2020, everyone starts using Oculus will have to log in with Facebook account. The policy change was met with many dissatisfaction in the social media. 

MOJO will launch Japan's MOJO GAMELAB business involving the use of new cutting-edge technology like XR. The move from Oculus to merge the social experience into VR will be closely watched by MOJO. 

We will continue to provide you with the relevant news on digital transformation. We are providing the consulting services related to this topic. Please contact us if there is any inquiry.
https://www.gamespot.com/articles/youll-need-facebook-to-use-oculus-devices-in-the-f/1100-6481100/",,,,,,
MOJO News,Warat ,,Linked-in/FB,,Game industry related,,https://drive.google.com/drive/folders/1-fmd4oHk65n55jcZdxersVf76H0WdvwN?usp=sharing,,@globaldigitalmojo @oculus VR @NBA,#technews #vr #xr #future #gadget #NBA,"Facebook has signed a deal with NBA to make Oculus an official marketing and VR heatset partner of the NBA,  WNBA, and NBA G League. Oculus is now providing so called 'Oculus front row view', which is a mobile table-mounted camera that captures the action in the front row as it moves up and down the court. The deal coincides with the start of 2020 NBA Playoffs when the attendances inside the stadium are still restricted due to Covid-19 situation. 

MOJO is the digital transformation agency that pays close attention to the development of new way of using new technology. We believe that VR will be widely used in the future, especially in the gaming and entertainment industry.

We are planning to introduce the game business in our portfolio really soon. We will use cutting-edge technology to provide the new experience and digital transformation to consumers. Please stay tune for more information about our new game from us.
https://www.roadtovr.com/facebook-signs-multiyear-deal-nba-making-oculus-official-vr-marketing-partner/",,,,,,
MOJO News,Warat ,,Linked-in/FB,,Game industry related,,https://drive.google.com/drive/folders/1-fmd4oHk65n55jcZdxersVf76H0WdvwN?usp=sharing,,@globaldigitalmojo @angrybirds ,#technews #vr #xr #future #gadget #environmental issues #angrybirds,"The developers of Angry Birds 2 and 10 other major mobile-games makers have commited to introducing environmental messages to their titles. The 11 companies that took part have a combined audience of 250 million players. Each will be introducing a new mode, map, themed event, story, or art work into their game to share information and messages about environmental issues.

At Globlal Digital MOJO, we believe that technology should be used to make world a better place. We are planning to develop our own game for the first time and think that it is great to have a purpose behind it. Please stay tune for more information about our game project.

https://www.bbc.com/news/newsbeat-53808488",,,,,,
MOJO News,Warat ,,Linked-in/FB,,Game industry related,,https://drive.google.com/drive/folders/1-fmd4oHk65n55jcZdxersVf76H0WdvwN?usp=sharing,,@globaldigitalmojo @pokemon ,#technews #pokemon #donation #AR,"The Pokemon company intends to donate $5 million to charities around the world in the aftermath of the extremely successful Pokemon GO FEST 2020. The event reportedly brought in $17.5 million in just two days in July.

Global Digital MOJO believes in giving back to society. At this difficult time, a lot of physical activities have been halted giving ways for digital transformation in many industries. We will continue to help companies to pursue digital transformation. We also have plan to introduce the game business soon. Please stay tune for any update from us.
https://screenrant.com/pokemon-company-donates-5-million-go-fest-2020/",,,,,,
MOJO News/MThink,Anna,,MOJO web Newsroom,Japan,Kinesys' Virtual Fashion 2.5D': Virtual overseas travelling becomes possible through digital signage, ,https://drive.google.com/drive/u/2/folders/1DSR0gJv3BgEr527_s20IAy7iQIPQLKh8,,"@globaldigitalmojo @next_system.press

@kyoto_iitoko @feel_kiyomizudera @a_aizawa @pandaponponpon @risa_doll_ @montjiro @xxmeixx1208 @nairuuuu @yukos0520",#technews #augumentedreality #AR #tourismtech #tourismtechnology #COVID-19,"Tired of staying at home all day? Feeling uninspired 24/7? Travel around the world and expose yourself to fashion, culture, and diversity through Kinesys' Virtual Fashion 2.5D. 
MOJO is an advocate for innovative tourism technology. We believe systems like Virtual Fashion 2.5D can truly have an immersive impact on pre-Covid-19 travellers into experiencing culture like never before - all whilst following hygienic and safety protocols. We therefore are happy to introduce our partner from the Smart City Expo 2019 - Kinesys.
https://vrinside.jp/news/post-181883/",,,,,,"バーチャルリアリティーでコロナに負けない夏休みを！〜民族衣装を試着して「バーチャル海外旅行」へ〜
株式会社ネクストシステム提供のARサイネージシステム「Kinesys」(キネシス)の仮想試着機能「Virtual Fashion2.5D」の提供開始により、様々な海外の民族衣装の試着体験が可能になりました。子供から大人まで簡単なジェスチャー操作で衛生面でも安心な「バーチャル海外旅行」を通し、新型コロナウイルス終息後の旅行に向けた観光業テクノロジーです。"
MOJO News,Adi/Atusko/Anna,,MOJO web Newsroom/Mojo in the Media,Global,"Global Digital MOJO Japan KK joins with Catalonia Tourism to win Japan Association of Travel Agents 6th Japan Tourism Awards, 2020",,,Wait for Official web Link,"TRAVEL RELATED
@kyoto_iitoko
@feel_kiyomizudera
@a_aizawa
@pandaponponpon

@_lmflores
@noelbayarri",#experiencecatalunya #jata #japan #tourism #smartcityexpo,"On the 17th this month, Global Digital MOJO Japan, alongside its client, Catalunya Tourism Agency, won the Japan Association of Travel Agents (JATA) Japan Tourism Awards for Excellent Partner and Special Awards for Digital Utilization. 
JATA is an association sanctioned by the Commissioner of the Japan Tourism Agency, established in order to improve service quality for travelers coming to and going from Japan.
In 2019, Global Digital MOJO helped digitally transform the official website for the world's first VR tourism game, “Legends of Catalonia” produced by Catalonia Tourism aimed at the Japanese market. 
For more information: wait for official web link

MOJO PR-Times Link : ",,,,,,"今月１７日、同社は昨年度にクライアントのカタルーニャ観光局（スペイン）の世界初VR観光ゲームである 「Legends of Catalonia」 の日本市場向けウェブサイトを立ち上げましたことにより、一般社団法人日本旅行業協会 (JATA) が提供する第６回ジャパン・ツーリズム・アワードのエクセレントパートナー賞、又デジタル活用賞を受賞致しました。
JATAは、旅行の促進と観光事業の発展への貢献を目標とし、旅行業務の改善及び旅行サービス向上等を図る、又社会に貢献する業務などを目的とする協会です。
"
MOJO News,Adi/Atusko/Anna,,MOJO web Newsroom/Mojo in the Media,Global,"Global Digital MOJO Japan KK joins with Catalonia Tourism to win Japan Association of Travel Agents 6th Japan Tourism Awards, 2020",,,MOJO  Web Link,"TRAVEL RELATED
@kyoto_iitoko
@feel_kiyomizudera
@a_aizawa
@pandaponponpon

@_lmflores
@noelbayarri",#experiencecatalunya #jata #japan #tourism,"On the 17th this month, Global Digital MOJO Japan, alongside its client, Catalunya Tourism Agency, won the Japan Association of Travel Agents (JATA) Japan Tourism Awards for Excellent Partner and Special Awards for Digital Utilization. 
JATA is an association sanctioned by the Commissioner of the Japan Tourism Agency, established in order to improve service quality for travelers coming to and going from Japan.
In 2019, Global Digital MOJO helped digitally transform the official website for the world's first VR tourism game, “Legends of Catalonia” produced by Catalonia Tourism aimed at the Japanese market. 

MOJO PR-Times Link : ",,,,,,"今月１７日、同社は昨年度にクライアントのカタルーニャ観光局（スペイン）の世界初VR観光ゲームである 「Legends of Catalonia」 の日本市場向けウェブサイトを立ち上げましたことにより、一般社団法人日本旅行業協会 (JATA) が提供する第６回ジャパン・ツーリズム・アワードのエクセレントパートナー賞、又デジタル活用賞を受賞致しました。
JATAは、旅行の促進と観光事業の発展への貢献を目標とし、旅行業務の改善及び旅行サービス向上等を図る、又社会に貢献する業務などを目的とする協会です。
"
MOJO News,David/Anna,2021-9-20,MOJO web Newsroom/Mojo in the Media,Global,MOJO invited to speak on AIX (AI Experience Design) in Taipei  ,Our founder Dr David Williams was invited to speak at the American Insititute of Technology (AIT) in Taipei,https://drive.google.com/drive/u/0/folders/1v4d5YvsIoRTuDhoyGCkjDhdkBOdmk06q,,,,"How are Design and AI working together?  What is meaning and practice of AIX (AI Experience Design)?  As part of our 2020 AI roadshow in Taiwan, our founder Dr David Williams was invited as a speaker at the American Institite Taiwan to present ""AI, Design and Digital Transformation"".  Unfortunately, due to COVID-19 travel descriptions Dr Williams will not be able to present at the event but we welcome everyone to sign up and listen to the thrilling speakers.  

https://www.accupass.com/event/2008281505021336540963",,,,,,
MOJO News,David/Anna,2021-9-20,Linked-in/Facebook,Global,,,https://drive.google.com/drive/u/0/folders/1v4d5YvsIoRTuDhoyGCkjDhdkBOdmk06q,,"women in Data Science Taipei
唐鳳 （Audrey Tang）
@mr.paul_tw
@alexyeh1127
@lovephoto1129
@cindy_xu3ejo3
 @jenchi77
@philipperahm
@chengjenpei
""陳 小曼 Slow Food Design
@slowfooddesign""
""makiueda
""
lololol.net
林人中
""鬼丘鬼鏟
@gmgscollective""
紀柏豪
王思雅sueya wang
劉寅生（Craphone）
林文海（department head of Art, Donghai University）

@gongnedi
@what7iwatch
@discoverhongkong
@whizoolab
@testhongkong

@ui__ux
@ui_gradient
@designtrust
@designdistricthk_ddhk
@yahlengyu
@alexandreerrera

@linustech
@austinnotduncan
@karlconrad
@techinasia",#ai #design #digitaltransformation #mojotaiwan #mojo #mahcinelearning #creativeAI,"How are Design and AI working together?  As part of our 2020 AI roadshow in Taiwan, our founder Dr David Williams was invited as a speaker at the American Institite Taiwan to present ""AI, Design and Digital Transformation"".  Unfortunately, due to COVID-19 travel descriptions Dr Williams will not be able to present at the event but we welcome everyone to sign up and listen to the thrilling speakers.  

https://www.accupass.com/event/2008281505021336540963",,,,,,
MOJO News,David/Anna,2020-10-1,MOJO web Newsroom/Mojo in the Media,Global,,,https://drive.google.com/drive/u/0/folders/0B899_POJQttRZGVEVURoNmJxZTQ,,"@thatfoodcray
@supertastermel
@gourmetyan
@foodmeupscotty
@yewwooi
@foodandtravelhk
@jeffyetv
@kenbek
@daniel_lau
@jc_jonathancheung
@jesso
@gongnedi
@what7iwatch
@discoverhongkong
@whizoolab
@testhongkong

@migrationology
@mytaiwantour
@instameettaiwan
@trickytaipei","#mooncakes #yuebing #MidAutumnFestival #MidAutumn #Mooncake #Family #中秋節 #月餅 #團圓 #家 #中秋节 #团圆
","Happy Mooncake-Mid-Autumn Festival from the MOJO Team in Hong Kong and Taiwan.

The Mid-Autumn Festival this year is somewhat different from previous years, with the on-going epidemic Mid-Autumn festival gives us hope and encourages us to stay positive MOJO believes that it is joyful to go out play with lanterns and candles under the beautiful moon together with family and friends but avoid if possible, but if you do go out please remember to wear your mask and follow proper sanitisation and social distancing to fight the virus. Have a happy holidays!
",,,,"花好月圓人團圓 香港台灣的Mojo Team祝大家中秋節快樂。

今年的中秋節與往年有所不同，不過中秋節給我們希望，並鼓勵我們保持積極態度。Mojo認為能夠與家人和朋友一起賞月，在美麗的月光下玩燈籠和蠟燭是一件很快樂的事情。不過要盡可能避免，如果外出，請記住戴口罩，常警惕並按照適當的社交距離對抗病毒。祝大家節日快樂！",,
,,,,,,,,,,,,,,,,,
MOJO Think,David,,Web,Global,An introduction to MOJO Deeptech,,https://drive.google.com/drive/u/1/folders/1pu_SysZRr6GaKHaQiANbOTgvqiHYsNK1,,,#ai #xr #ml #github #mozillahubs #3d #ux,Behind every great digital experience is carefully crafted technology.  ,,,,,,"Global Digital MOJO Japan KK、カタルーニャ観光局と共に一般社団法人日本旅行業協会提供の２０２０年度ジャパン・ツーリズム・アワードに受賞Global Digital MOJO（globaldigitalmojo.com）は、香港に本社を置く国際的なデジタルイノベーション企業です。 デジタル設計および開発、スタートアップコンサルティング、O2Oマーケティング、デジタルビジネス戦略コンサルティング、企業研修など、インバウンドおよびアウトバウンドのデジタル変換サービスを世界中で提供しています。今月１７日、同社は昨年度にクライアントのカタルーニャ観光局（スペイン）の世界初VR観光ゲームである 「Legends of Catalonia」 の日本市場向けウェブサイトを立ち上げましたことにより、一般社団法人日本旅行業協会 (JATA) が提供する第６回ジャパン・ツーリズム・アワードのエクセレントパートナー賞、又デジタル活用賞を受賞致しました。JATAは、旅行の促進と観光事業の発展への貢献を目標とし、旅行業務の改善及び旅行サービス向上等を図る、又社会に貢献する業務などを目的とする協会です。今年が第6回となるジャパン・ツーリズム・アワードは国内・国外の団体・組織･企業の持続可能でツーリズムの発展・拡大に貢献する優れた取り組みを表彰するものであり、ツーリズムへの理解と発展に寄与することを目的としています。審査委員会は、国際連合の持続可能な開発目標（SDGs）に基づき、斬新性・革新性、事業性、発展性、そして社会性を主に審査基準として各賞を決定致しました。Global Digital MOJO はO2Oマーケティングを通して無料プレイステーション４対象VRゲーム「Legends of Catalonia」を日本市場に効果的に売り込みました。今回のプロジェクトでは大阪、香港、プネー（インド）にある三つのGDMチームが共同で公式日本版ウェブサイト、又東京で開催されたローンチイベントを立ち上げました。本社はSDGsも考慮するジャパン・ツーリズム・アワードの賞を二つも受賞することができ、大変光栄に存じます。日本におけるインバウンドおよびアウトバウンドのデジタル変換事業に向けた新たなパートナーシップの構築を楽しみにしています。transformation@globaldigitalmojo.comにご連絡ください。"
MOJO Think,David,,Linked-in,Global,An introduction to MOJO Deeptech,,https://drive.google.com/drive/u/1/folders/1pu_SysZRr6GaKHaQiANbOTgvqiHYsNK1,,,,,,,,,,"Global Digital MOJO Japan KK、カタルーニャ観光局と共に一般社団法人日本旅行業協会提供の２０２０年度ジャパン・ツーリズム・アワードに受賞

Global Digital MOJO（globaldigitalmojo.com）は、香港に本社を置く国際的なデジタルイノベーション企業です。 デジタル設計および開発、スタートアップコンサルティング、O2Oマーケティング、デジタルビジネス戦略コンサルティング、企業研修など、インバウンドおよびアウトバウンドのデジタル変換サービスを世界中で提供しています。

今月１７日、同社は昨年度にクライアントのカタルーニャ観光局（スペイン）の世界初VR観光ゲームである 「Legends of Catalonia」 の日本市場向けウェブサイトを立ち上げましたことにより、一般社団法人日本旅行業協会 (JATA) が提供する第６回ジャパン・ツーリズム・アワードのエクセレントパートナー賞、又デジタル活用賞を受賞致しました。
JATAは、旅行の促進と観光事業の発展への貢献を目標とし、旅行業務の改善及び旅行サービス向上等を図る、又社会に貢献する業務などを目的とする協会です。

今年が第6回となるジャパン・ツーリズム・アワードは国内・国外の団体・組織･企業の持続可能でツーリズムの発展・拡大に貢献する優れた取り組みを表彰するものであり、ツーリズムへの理解と発展に寄与することを目的としています。審査委員会は、国際連合の持続可能な開発目標（SDGs）に基づき、斬新性・革新性、事業性、発展性、そして社会性を主に審査基準として各賞を決定致しました。

Global Digital MOJO はO2Oマーケティングを通して無料プレイステーション４対象VRゲーム「Legends of Catalonia」を日本市場に効果的に売り込みました。今回のプロジェクトでは大阪、香港、プネー（インド）にある三つのGDMチームが共同で公式日本版ウェブサイト、又東京で開催されたローンチイベントを立ち上げました。本社はSDGsも考慮するジャパン・ツーリズム・アワードの賞を二つも受賞することができ、大変光栄に存じます。

日本におけるインバウンドおよびアウトバウンドのデジタル変換事業に向けた新たなパートナーシップの構築を楽しみにしています。
transformation@globaldigitalmojo.comにご連絡ください。
"
MOJO Think,Atsuko/Karan,-,Web,Global / Japan?,How will change in our lives by 5G?   5Gによりもたらされる変化を考える,,,,,??,"Our company Global Digital MOJO offer support of Digital Transformation in various of fields.
We are wonder how migration of 5G will bring change in our lives.
5G is based on 3 main definition such as eMBB,URLLC,and mMTC.
That means 5G is not the offering. We call 5G which cleared the regulation,so there is a variation of service quality.(It happens on 4G as well)
Local 5G was introduced in Japan which can only use specific environment. It made faster line connection and expand concurrent connection. We assume
5G would be mobile communication systems to promote digitalization in our future.
How will the world change by introducing 5G in a changing world?
First of all,we wouldn't see a loading screen. 5G will make high speed internet and the decrease of loading time will make increasing people's productivity.
Secondary,we can provide more high quality service on entertainment department such as Virtual space and online video games  by high speeding and improving of expanded concurrent connections.
5G will offer more realistic image of live streaming and improve wide range of contents by concurrent connection on a same.
And last,it will make sharing data or management instructions done rapidly by introduing at a large scale scene for efficiency of production lines and production line at manufacturing industry.
For example,we can cooperation to IoT or add correct data such as grasp employee's activity by expansion of data capacity and it will lead safe and efficient making of a site flow.
Global digital MOJO provide digital transformation in various fields.We make it happen more comfortable and productivity environment by adapting changing digital environment.





",,,,,,Global Digital MOJO株式会社は、様々な分野におけるデジタルトランスフォーメーションをサポートしています。 MOJOにとっても大きな変化である5Gへの移行は、生活においてどのような変化をもたらしていくのでしょう。 1.5Gとは 国際電気通信連合の高速大容量(eMBB)・低遅延(URLLC)・多数同時接続(mMTC)の大まかな3つの定義に基づきます。 つまり5G自体が同一のクオリティを提供する1つの提供物ではなく、定義の規定をクリアしたものを5Gと呼び、各キャリアにおいて多少のサービスの誤差が発生します。（この差は4Gに存在しています） また、通信キャリアのみならず、日本においてはローカル5Gといった限られた環境で使用できる5G制度も導入されており、回線接続スピードが速くなり、同時接続の幅が広がる5Gは今後のデジタル化をさらに促進させるイノベーションとなる移動通信システムと言えます。 2.変わっていく世の中 では、5Gの導入で世の中はどのような変化を生み出すのでしょうか。 A. Loading画面がなくなる 今までは読み込みに時間のかかっていた大容量データの受け取りも、回線の高速化によって減少することが読み取れます。 1つ1つは少しの時間でも、それにより集中の途切れるLoading時間の減少は人々の生産性の向上に繋がると予測されます。 B.エンターテイメント部門のイノベーション オンライン接続で楽しむゲームやバーチャル空間などのエンターテイメント部門においても、速度と同時接続幅の向上によりよりいっそハイクオリティなサービスの提供に繋がります。 よりリアリスティックな映像の配信や、同一回線での同時接続による情報の提供などが可能になることでコンテンツの幅が大きく向上していきます。 C.各種生産ラインの効率化 製造業などの生産ラインなどの大規模な現場で導入することにより、データの共有や管理指示などがより迅速になされます。 例えばIoTとの連携や、扱えるデータ容量の拡張によって従業員一人一人の行動把握などを回収データとして加えることもでき、安全かつ効率的な同線の設計などにも繋がります。 Global Digital MOJOでは様々な分野におけるデジタルトランスフォーメーションを提供いたします。 変化していくデジタル環境に適応することにより、より快適かつ生産的な環境を実現いたします。
MOJO Think,Atsuko/Karan,-,Web,Global / Japan?,How will video game industry change in our future? 変わりゆくゲーム業界を考える,,,,,??,"Video game industry had  achieve growth for last 10 years.
Especially online video game market is growing remarkably cause of mobile application expanded thire business by spreading of smartphones. 
It is assumed one of the reason why video games became familiar to people by becoming people can play by smartphone or computer without hardware.
Also,it became easier to operate video games with a high degree of freedom by introduction of 5G(eMBB,URLLC,and mMTC). 
For example, it make possible to supply more realistic feeling than before by improving of VR/AR of mobile application's quality at a breath. 
That would lead to mobile application might able to supply the ""reality"" which we could only feel by through hardware such as video games for house use.
No body knows how the times will change by those radical improvements.
Our company Global Digital MOJO develop application that comform to the needs of market as well.
We offer immersive service as enterprises or one of the contents.",,,,,,"ゲーム業界はこの10年間、継続した成長を遂げています。
特にオンラインゲーム市場の成長が著しく、スマートフォンの市場拡大とともにモバイルアプリケーションの市場拡大が進んだこともこの成長の加速に繋がっています。
ハード未所有者もスマートフォンやパソコンというすでに所持している媒体でプレイ可能となったことでゲーム自体が身近になったことも要因の一つだと想定されます。

また、近年導入された5G(高速大容量(eMBB)・低遅延(URLLC)・多数同時接続(mMTC))の導入によりこのモバイルゲームのコンテンツ幅がさらに増加し、より自由度の高いゲームの運用が容易になります。

例えば、モバイルアプリケーションのVR/ARのクオリティが一気に向上することで、今までになかった臨場感を供給することが可能になります。
それにより、今まで家庭用ゲーム機などのハードを通してしか感じることのできなかった「リアル」がモバイルアプリケーションでも提供できるようになる可能性もあります。

拡大とともに業界自体も変化に合わせて変わっていく必要性のある市場で、時代はどのように変化していくのでしょうか。

Global Digital MOJOでは、市場に合わせたアプリケーションの開発も行っています。
エンタープライズやコンテンツの一つとして、没入型のサービスを提供いたします。
"
MOJO Think,Atsuko/Karan,-,Web,Global / Japan?,Accelerate Virtual Reality 加速するバーチャルリアリティ,,,,,??,"About 10 years ago,Virtual Reality was only in the story of SF movie. Now it became a reality and is evolving every day. Under the influence of Covid-19,people were in quarantine and it made stronger them to connect in virtual world. Also it boosted VR innovation.  Nowadays VR developed in many field not only video games but business or entertainment such as VR music live by famous artist. Furthermore,one of the study discovered a certain video game will help early deduction of Alzheimar. So it is assumed VR would adopt an aging society as welfare measures in the future. 
Additionally we might have expandable VR world by 5G.
Our company Global Digital MOJO provide DX which can coexist with digitalization.
Let us put comfortable environment in our immediate circle by advancing digitalization.",,,,,,"10年前までバーチャルリアリティ（以下VR）の世界はSF映画の中の物語でした。
それが今では現実となり、さらによりリアルな世界へと進化を遂げています。
新型コロナウイルスの影響により、隔離された人々はバーチャルでの繋がりを強化し、VRの技術革新の後押しにもなりました。
今では有名なアーティストがVRライブを行うなど、ゲームの世界のみならず、様々なエンターテイメント分野、ビジネス分野に展開されています。
あるゲームがアルツハイマー病の早期発見に繋がる可能性があると研究されるなど、高齢社会においての対策として福祉においても、VRが導入される未来も想定されます。
また、5Gの導入により、よりリアルなバーチャル世界を展開可能な未来が来るかもしれません。


Global Digital MOJOでは、デジタルとともに共存するためのデジタルトランスフォーメーションを提供しています。
デジタル化を促進することでより快適な環境を身近におきましょう。

資料 https://www.pnas.org/content/116/19/9285"
